"시점",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2000.01",6.7,8.1,6.0,7.1,7.3,5.8,5.0,-,5.9,3.6,5.2,4.0,4.2,3.5,3.9,4.4,3.3
"2000.02",6.5,8.1,6.0,6.7,7.1,6.7,4.3,-,5.6,3.4,4.8,4.1,3.8,4.2,4.7,4.3,3.8
"2000.03",5.9,7.6,5.6,6.4,6.9,5.1,4.1,-,4.8,3.2,4.3,3.2,3.8,3.4,4.6,3.4,3.7
"2000.04",5.3,6.8,4.7,5.9,6.6,3.9,4.2,-,4.0,3.0,3.6,2.3,3.3,2.9,4.1,3.4,3.2
"2000.05",4.5,6.7,4.0,5.5,7.1,3.9,4.4,-,3.6,2.7,2.6,2.4,2.6,3.3,3.6,3.5,3.0
"2000.06",4.2,6.5,4.0,5.1,6.3,4.0,3.6,-,3.4,2.4,2.6,2.4,2.8,2.8,3.5,3.3,2.9
"2000.07",4.6,7.2,4.5,4.3,6.2,3.9,4.4,-,3.3,2.1,2.9,2.1,2.1,3.2,3.2,3.2,2.5
"2000.08",4.6,7.1,4.8,5.3,6.2,4.2,4.9,-,3.4,2.2,3.3,2.4,2.5,3.6,3.0,3.2,2.1
"2000.09",4.5,7.1,4.6,5.2,6.2,4.5,4.7,-,3.4,2.3,3.5,2.8,2.5,3.2,2.6,3.1,2.0
"2000.10",4.2,6.7,4.4,4.3,5.8,5.0,3.7,-,3.0,2.1,3.2,2.3,2.8,2.8,2.2,3.3,2.2
"2000.11",4.7,6.4,4.6,4.2,5.9,4.6,3.5,-,3.2,2.1,3.5,2.5,3.1,3.0,2.2,3.2,2.1
"2000.12",5.3,6.8,5.2,5.0,6.7,5.6,4.5,-,3.5,2.5,3.8,3.1,4.2,3.3,2.8,3.6,2.2
"2001.01",5.7,7.3,5.6,5.8,6.9,6.6,5.3,-,4.5,3.4,4.6,4.0,5.0,3.7,3.5,3.7,2.7
"2001.02",6.4,7.3,5.8,6.2,7.1,6.7,4.8,-,4.9,3.9,5.0,4.5,4.6,4.1,3.7,4.5,3.5
"2001.03",6.1,7.4,5.9,5.7,6.4,5.6,4.9,-,4.9,3.4,4.3,3.4,3.9,3.5,3.3,4.1,3.1
"2001.04",4.9,6.0,4.9,5.0,5.0,4.3,4.0,-,3.7,2.5,3.4,2.8,3.2,3.0,2.9,3.0,2.8
"2001.05",4.6,5.2,4.5,4.3,4.9,3.8,2.9,-,3.2,2.2,3.2,2.4,3.2,2.8,2.6,2.8,2.9
"2001.06",4.4,5.2,4.7,4.0,4.9,3.8,2.9,-,3.0,1.8,3.1,2.3,2.9,3.1,2.7,2.7,2.5
"2001.07",4.4,5.4,4.5,4.4,4.5,4.1,3.5,-,3.2,1.8,3.0,2.5,2.4,2.9,2.3,3.2,2.2
"2001.08",4.5,5.2,4.5,4.2,4.3,3.7,3.3,-,3.1,1.9,2.9,2.9,2.5,3.2,2.1,3.6,2.4
"2001.09",3.8,4.6,3.9,3.6,4.4,3.7,2.5,-,3.2,1.4,2.9,2.4,2.3,2.6,2.5,3.0,2.1
"2001.10",4.0,4.6,4.5,4.2,4.0,3.6,2.4,-,3.1,1.6,2.6,2.1,2.3,2.5,2.3,3.0,1.8
"2001.11",4.1,4.7,4.5,4.4,4.2,3.6,2.4,-,2.9,1.8,2.8,2.6,2.8,2.4,2.0,3.1,2.1
"2001.12",4.4,5.0,4.7,4.5,4.4,4.7,2.4,-,3.2,2.2,3.6,4.0,3.3,2.6,2.5,3.0,2.2
"2002.01",5.3,4.9,4.9,4.8,4.4,5.1,2.8,-,3.6,2.6,3.5,4.2,3.6,2.5,2.4,3.8,2.4
"2002.02",4.9,4.6,5.3,5.1,4.3,4.6,2.5,-,3.6,2.7,3.7,4.6,3.5,2.3,2.9,3.7,2.9
"2002.03",4.6,4.8,4.8,4.8,4.3,5.1,3.3,-,3.2,2.7,3.1,3.5,3.1,2.7,2.6,3.2,2.5
"2002.04",4.4,4.4,4.2,4.4,3.8,3.4,2.4,-,3.2,2.0,2.6,2.6,2.6,2.4,2.3,2.1,2.6
"2002.05",4.1,4.2,3.6,4.3,3.8,3.3,2.4,-,2.6,1.9,2.3,2.5,2.0,2.4,2.5,2.3,2.2
"2002.06",4.0,3.7,3.6,3.6,3.7,3.5,2.0,-,2.3,1.3,2.3,2.2,2.0,2.3,2.4,2.3,2.3
"2002.07",3.9,4.0,4.4,3.5,4.1,3.9,2.5,-,2.4,1.1,2.1,2.3,2.1,2.7,2.3,2.5,2.2
"2002.08",4.3,3.6,4.4,4.0,3.8,3.7,2.7,-,2.7,1.5,2.2,2.5,2.2,2.5,2.2,2.3,1.9
"2002.09",3.7,2.9,3.7,3.0,3.1,3.2,2.1,-,2.6,1.7,2.0,1.9,2.1,2.0,1.8,2.1,1.9
"2002.10",4.1,3.0,3.8,3.7,3.6,3.5,2.1,-,2.3,1.5,2.3,2.0,2.3,1.9,1.8,2.0,1.8
"2002.11",4.1,3.4,3.9,3.4,3.6,3.2,2.5,-,2.4,1.5,2.1,2.0,2.2,1.8,1.6,1.9,1.8
"2002.12",4.7,3.7,4.0,3.6,3.7,3.4,2.6,-,2.7,1.5,2.4,2.2,2.3,1.8,1.6,1.9,1.7
"2003.01",4.9,4.1,4.6,4.9,4.4,4.5,2.4,-,3.6,2.1,3.5,3.1,2.6,2.4,2.2,2.4,1.9
"2003.02",5.1,4.0,4.4,5.0,5.0,4.4,3.0,-,3.5,2.6,4.1,3.2,3.3,2.7,1.9,2.5,2.1
"2003.03",4.6,4.2,4.5,4.7,5.2,3.9,3.5,-,3.4,2.6,3.5,3.0,2.9,3.1,2.0,3.1,2.3
"2003.04",4.3,3.6,4.5,4.3,4.7,3.3,3.0,-,3.4,1.6,3.2,2.8,3.0,2.5,2.2,2.6,2.1
"2003.05",4.4,4.1,4.3,4.2,5.4,3.4,3.6,-,3.2,1.8,2.5,2.8,2.3,2.4,1.9,2.4,2.0
"2003.06",4.5,4.1,4.6,4.1,4.3,3.7,3.3,-,3.0,1.8,2.9,3.2,2.3,2.4,2.0,2.6,1.8
"2003.07",4.4,4.1,4.5,4.4,4.8,3.7,3.6,-,3.3,2.2,3.2,3.3,2.7,2.1,2.3,2.8,1.9
"2003.08",4.7,3.9,4.4,4.2,4.5,4.0,2.9,-,3.3,1.8,3.0,3.2,2.6,2.3,2.3,2.7,1.8
"2003.09",4.3,4.1,4.2,4.0,3.9,3.7,2.9,-,3.1,1.6,2.8,2.4,2.8,2.1,2.5,2.4,1.8
"2003.10",4.5,4.2,4.1,4.1,4.2,3.6,2.8,-,3.5,2.2,3.0,2.6,2.7,1.9,2.3,2.1,1.6
"2003.11",4.8,4.1,4.5,3.9,4.6,3.7,3.5,-,3.3,1.9,2.9,2.8,2.8,1.8,2.5,2.3,1.7
"2003.12",4.8,4.6,4.8,4.7,4.6,4.1,3.7,-,3.7,2.4,3.3,2.9,3.0,2.2,2.7,2.1,1.7
"2004.01",4.8,4.8,5.1,4.5,4.9,4.8,3.7,-,3.9,2.3,3.6,2.8,2.9,2.6,3.0,2.9,1.9
"2004.02",5.2,5.0,5.4,5.1,4.7,5.4,4.6,-,3.7,2.4,3.3,2.7,3.3,2.6,3.3,2.8,2.1
"2004.03",4.9,5.2,5.1,5.2,4.9,5.0,4.3,-,3.7,2.4,3.0,2.4,3.3,2.5,2.8,2.6,2.1
"2004.04",4.6,5.1,4.4,4.4,4.7,4.3,3.6,-,3.5,2.2,2.9,2.2,2.9,2.4,2.5,2.1,2.4
"2004.05",4.2,4.6,4.2,4.3,4.2,3.7,3.7,-,3.6,2.2,2.6,2.3,2.4,2.2,2.8,2.2,2.4
"2004.06",4.2,3.5,3.6,4.0,4.1,3.8,3.0,-,3.5,1.7,2.6,2.5,2.7,2.4,2.9,2.3,2.4
"2004.07",4.8,3.6,4.0,4.4,4.4,4.0,3.3,-,3.7,2.0,3.0,2.4,2.8,2.5,2.8,2.4,2.8
"2004.08",4.9,4.0,4.0,4.6,4.3,4.1,3.6,-,3.4,2.0,2.9,2.4,3.0,3.0,2.6,2.3,2.7
"2004.09",4.5,4.0,3.6,4.1,3.6,3.9,3.1,-,3.4,1.9,2.1,2.0,2.6,2.4,1.8,2.1,2.6
"2004.10",4.5,4.3,3.7,4.3,3.7,3.5,3.2,-,3.5,1.8,2.1,1.8,2.4,1.8,2.3,2.4,2.7
"2004.11",4.7,4.0,3.8,4.4,3.9,3.8,3.4,-,3.5,2.1,2.1,1.9,2.4,2.2,2.2,2.3,2.2
"2004.12",5.0,4.6,4.1,4.9,3.9,4.1,3.2,-,3.9,2.2,2.7,2.8,3.0,2.7,2.5,2.4,2.6
"2005.01",5.5,4.6,4.7,5.2,4.4,5.4,4.0,-,4.0,2.5,2.9,3.7,3.7,2.6,2.8,3.3,2.9
"2005.02",5.5,4.5,5.1,5.1,5.0,5.2,4.1,-,4.4,2.2,3.0,3.7,3.4,2.5,2.5,2.9,2.9
"2005.03",5.2,4.6,5.3,4.9,5.5,4.7,4.0,-,4.1,2.2,2.7,3.5,2.8,2.4,2.4,2.4,2.6
"2005.04",4.7,4.9,4.6,4.8,5.0,4.2,3.5,-,3.8,2.1,2.4,2.6,2.6,2.5,2.2,2.5,2.3
"2005.05",4.8,4.5,4.4,4.3,4.1,4.1,3.7,-,3.5,1.2,2.1,2.5,2.1,2.2,2.4,2.2,2.3
"2005.06",4.6,4.4,3.7,4.4,4.2,4.3,3.2,-,3.9,1.5,2.3,2.5,2.1,2.3,2.5,2.7,2.9
"2005.07",4.7,4.6,4.2,4.4,4.0,4.4,3.5,-,3.9,1.8,2.3,2.0,2.3,2.5,2.6,2.6,2.7
"2005.08",4.6,4.1,4.1,4.3,4.1,4.5,3.6,-,3.6,1.7,2.0,2.2,2.2,2.2,2.7,2.5,3.0
"2005.09",4.7,4.1,3.8,4.3,4.2,4.5,3.4,-,4.0,1.5,2.2,2.5,2.1,2.2,2.6,2.3,2.4
"2005.10",4.7,4.6,4.1,4.1,4.1,4.1,2.8,-,3.8,1.5,2.0,2.5,2.1,2.2,2.8,2.5,2.0
"2005.11",4.3,3.8,3.5,4.0,4.0,3.4,2.2,-,3.4,1.5,2.0,2.3,2.1,1.8,2.0,2.7,1.9
"2005.12",4.7,4.1,3.5,4.7,3.9,4.5,2.6,-,3.5,1.9,2.2,2.8,2.6,2.0,2.1,2.8,1.8
"2006.01",5.0,3.8,3.5,4.8,4.2,5.1,2.7,-,3.8,1.7,2.5,2.4,3.1,1.7,2.5,3.3,2.5
"2006.02",5.3,4.2,4.0,5.0,5.1,5.1,2.6,-,4.5,1.8,2.6,3.0,3.0,2.0,2.9,3.0,2.1
"2006.03",5.3,4.5,4.0,5.0,4.4,4.3,3.3,-,4.1,1.7,2.5,2.5,3.3,1.6,2.5,2.8,2.2
"2006.04",4.6,4.6,4.1,4.5,4.6,4.1,2.8,-,3.7,1.1,2.3,1.9,2.9,1.7,2.0,2.3,2.2
"2006.05",4.2,4.3,3.7,4.1,4.2,4.4,2.5,-,3.3,1.1,2.0,2.1,2.8,1.7,2.0,2.0,2.0
"2006.06",4.1,4.8,3.5,3.9,4.0,4.0,3.1,-,3.7,1.2,2.4,2.3,2.4,1.6,2.2,2.3,1.9
"2006.07",4.3,4.8,3.3,4.3,3.7,4.8,2.9,-,3.5,1.1,2.3,2.8,2.4,2.1,2.5,2.0,2.5
"2006.08",4.5,4.2,3.9,4.1,4.3,4.5,2.7,-,3.3,0.8,2.0,2.3,2.3,1.9,2.4,2.5,2.2
"2006.09",4.2,3.7,3.5,4.2,4.0,4.4,2.7,-,3.1,1.2,2.3,2.6,2.1,1.7,2.6,2.2,2.1
"2006.10",4.7,3.7,3.6,4.2,4.2,4.8,2.8,-,2.9,1.3,2.2,2.8,2.5,1.7,2.4,1.8,1.9
"2006.11",4.4,3.9,3.7,4.0,4.0,4.2,2.5,-,3.0,1.4,1.9,2.5,2.4,1.4,2.1,1.9,1.8
"2006.12",4.3,4.1,4.1,4.5,4.0,4.2,3.1,-,3.1,1.9,2.1,2.7,2.3,1.7,2.3,2.0,1.6
"2007.01",4.8,4.1,4.3,4.6,4.3,4.6,3.2,-,3.4,2.3,2.5,3.0,2.5,1.9,2.3,2.6,2.6
"2007.02",4.6,4.3,4.2,4.6,4.4,4.5,2.7,-,3.8,2.1,2.5,3.2,2.6,2.0,2.4,2.4,2.1
"2007.03",4.2,4.3,4.0,4.3,4.2,4.3,2.3,-,3.8,2.0,2.4,2.9,2.9,1.8,2.3,2.3,2.7
"2007.04",4.2,4.3,3.9,4.0,4.0,3.8,2.5,-,3.6,1.8,2.3,2.4,2.6,1.9,2.2,2.3,2.1
"2007.05",3.9,3.8,3.5,3.8,4.2,4.0,2.0,-,3.4,1.8,2.0,2.7,2.4,1.6,1.5,2.9,2.5
"2007.06",3.7,3.9,3.4,4.0,4.3,4.0,2.2,-,3.4,1.7,2.4,2.1,2.3,1.8,1.9,2.6,2.5
"2007.07",3.9,4.3,3.5,4.0,3.8,4.3,2.7,-,3.3,1.9,2.1,2.5,2.3,1.8,2.2,2.7,1.9
"2007.08",3.9,3.9,3.7,3.9,4.1,4.5,2.5,-,3.1,1.8,1.8,1.9,2.0,1.7,2.3,2.8,2.1
"2007.09",3.8,3.5,3.3,3.9,3.6,3.7,2.3,-,3.0,1.6,1.8,1.9,1.8,1.6,2.4,2.2,2.0
"2007.10",3.9,3.4,3.0,3.8,3.8,4.0,2.3,-,3.0,1.9,2.3,2.0,2.1,1.7,2.2,2.0,1.3
"2007.11",4.0,4.0,3.2,3.6,3.5,3.8,2.5,-,2.9,1.7,2.7,1.9,2.3,1.6,1.7,1.9,1.3
"2007.12",4.1,4.0,2.7,4.2,3.8,3.7,2.6,-,2.8,1.9,2.6,1.8,2.6,1.7,1.7,2.3,1.9
"2008.01",4.2,4.0,3.5,4.3,3.5,3.5,2.6,-,3.4,1.5,2.2,2.1,2.7,2.1,1.7,2.2,1.6
"2008.02",4.5,4.1,3.2,4.6,3.4,3.6,3.1,-,3.5,2.4,2.2,2.7,2.6,2.7,2.3,2.1,1.8
"2008.03",4.1,3.9,3.9,4.5,3.9,3.8,2.7,-,3.4,1.8,2.6,2.5,2.5,2.4,2.6,2.0,2.2
"2008.04",3.9,3.9,3.5,3.8,3.6,3.6,3.1,-,3.5,1.6,2.5,2.1,2.3,1.9,2.5,2.1,2.1
"2008.05",3.7,3.5,3.3,3.8,4.1,3.7,3.5,-,3.1,1.2,2.2,2.3,2.3,2.2,2.3,2.0,2.2
"2008.06",3.8,4.0,3.7,3.9,4.1,3.7,3.7,-,2.9,1.7,2.1,1.9,2.0,2.0,2.3,2.2,2.1
"2008.07",3.8,3.7,3.5,3.9,4.5,4.0,2.9,-,3.3,1.8,1.8,2.5,2.0,1.7,1.9,1.9,1.9
"2008.08",4.1,3.7,3.5,3.8,3.8,4.1,2.9,-,3.1,1.7,1.9,2.2,1.9,2.5,1.8,2.4,1.6
"2008.09",3.7,3.3,3.5,3.5,4.1,3.4,3.1,-,3.0,1.6,2.0,2.7,1.6,1.7,1.9,2.1,1.8
"2008.10",3.7,3.9,3.9,3.7,3.8,3.3,4.0,-,2.7,2.1,2.3,2.4,2.5,1.6,2.0,2.1,1.4
"2008.11",3.8,3.7,4.0,3.5,3.5,3.3,4.3,-,2.8,1.6,2.3,2.9,2.3,1.7,1.8,2.5,1.6
"2008.12",3.9,3.9,4.4,3.9,3.6,3.9,4.4,-,3.2,1.7,2.6,3.3,2.2,1.7,2.1,2.6,1.3
"2009.01",4.2,4.6,4.5,4.2,3.2,3.8,4.2,-,3.5,2.1,2.5,3.0,2.2,2.4,2.9,3.1,1.8
"2009.02",4.9,4.6,5.1,4.6,4.8,4.0,4.9,-,3.5,2.1,3.1,3.1,2.2,2.2,3.4,3.4,1.8
"2009.03",4.9,4.2,4.8,5.0,5.0,3.6,4.7,-,4.1,2.0,2.9,3.7,2.2,2.2,3.0,2.7,1.7
"2009.04",5.0,4.4,3.8,4.3,3.8,3.7,4.6,-,4.2,1.9,2.3,3.1,1.7,1.7,2.9,3.1,1.6
"2009.05",4.7,4.2,4.3,5.1,4.1,4.0,4.7,-,4.0,2.4,1.9,3.5,2.1,1.5,2.7,3.2,1.7
"2009.06",4.6,4.5,4.8,4.8,4.7,4.0,4.7,-,4.1,2.6,2.5,3.6,2.2,1.3,2.8,2.9,2.0
"2009.07",4.8,4.6,4.1,4.5,3.2,4.5,4.4,-,4.0,2.2,1.8,3.3,2.0,1.4,2.3,3.0,1.6
"2009.08",4.5,3.9,5.1,4.3,4.0,3.6,3.4,-,4.3,2.1,1.5,2.7,2.2,1.5,2.4,3.1,1.3
"2009.09",4.3,3.7,4.0,4.2,3.5,3.4,3.5,-,3.5,2.0,1.4,2.7,2.0,1.2,2.8,2.8,1.7
"2009.10",3.8,4.5,4.3,4.1,3.7,3.2,3.1,-,3.1,2.1,1.8,2.8,1.6,1.2,2.6,3.2,1.2
"2009.11",4.2,4.4,3.5,4.8,2.6,2.8,3.3,-,3.4,1.8,1.9,2.8,1.6,1.3,2.4,3.1,1.0
"2009.12",4.1,4.4,3.9,4.6,3.2,3.1,3.5,-,3.7,1.7,1.9,3.0,1.5,1.6,2.6,3.2,1.4
"2010.01",6.0,4.8,6.2,6.2,4.7,4.8,4.3,-,5.2,5.0,3.7,4.5,2.7,3.8,4.7,3.4,2.6
"2010.02",5.8,4.4,4.9,6.4,4.1,5.0,4.2,-,5.5,4.3,3.4,4.4,3.0,2.2,3.9,3.3,2.6
"2010.03",5.2,3.9,4.4,5.5,4.0,3.9,4.3,-,4.5,3.5,2.0,2.6,2.8,1.9,3.1,3.2,1.8
"2010.04",5.1,3.7,3.6,4.8,4.3,4.1,3.9,-,3.9,2.2,2.0,2.6,2.1,1.9,2.9,2.7,2.4
"2010.05",4.2,3.0,3.5,4.0,3.6,3.0,3.1,-,3.3,1.9,1.8,2.5,1.8,1.4,2.4,2.4,1.9
"2010.06",4.2,3.3,3.7,4.3,3.9,3.6,3.5,-,4.4,1.5,1.4,2.2,2.1,1.8,2.1,2.8,1.5
"2010.07",4.5,3.6,4.2,4.7,3.4,4.3,3.4,-,4.3,2.0,2.0,3.0,2.2,2.1,2.0,3.1,1.6
"2010.08",4.3,3.2,3.2,4.2,3.6,3.4,2.8,-,3.7,1.8,1.9,2.5,1.7,2.5,2.7,2.6,1.5
"2010.09",4.3,3.6,3.8,4.9,2.9,2.5,3.3,-,3.6,2.4,2.0,3.3,2.1,1.9,2.4,3.0,1.6
"2010.10",4.6,3.4,3.4,5.2,2.2,3.0,3.0,-,3.3,2.5,1.9,2.8,2.1,2.0,2.5,2.3,1.3
"2010.11",4.1,3.1,3.7,4.5,2.3,2.8,3.1,-,2.7,1.8,2.1,2.5,1.8,1.9,2.5,2.0,1.3
"2010.12",4.3,3.4,4.1,5.6,3.3,3.6,3.0,-,3.4,2.8,2.3,2.7,2.6,1.9,2.5,2.6,1.6
"2011.01",4.8,3.9,4.3,5.5,3.2,3.9,3.0,-,3.7,2.9,2.8,2.7,3.1,2.6,3.4,2.3,2.4
"2011.02",5.2,4.4,5.6,5.9,4.2,5.6,3.9,-,4.3,4.6,3.1,3.3,4.4,3.4,4.6,2.7,2.1
"2011.03",5.4,4.3,4.2,6.3,4.1,4.8,4.1,-,4.4,3.4,2.6,3.0,2.7,2.4,3.8,3.1,1.8
"2011.04",5.0,4.1,3.7,5.2,3.8,4.1,4.1,-,3.9,2.0,2.4,2.6,2.0,1.4,2.6,2.5,1.5
"2011.05",4.6,3.3,4.0,4.2,3.9,2.9,3.3,-,3.2,2.0,2.1,1.8,1.9,1.6,2.5,1.6,1.9
"2011.06",4.4,3.6,3.7,4.6,3.3,2.9,2.6,-,3.3,1.7,2.4,1.8,2.6,1.7,2.8,2.2,1.9
"2011.07",4.2,3.6,3.5,5.0,3.4,3.5,1.9,-,3.3,1.9,2.6,2.4,2.4,1.8,2.3,2.2,2.1
"2011.08",4.3,3.3,3.5,4.2,2.6,3.3,2.2,-,2.8,1.9,2.5,2.4,1.9,2.4,1.6,2.2,1.3
"2011.09",4.4,3.1,3.2,4.1,2.0,2.6,2.0,-,3.1,1.5,2.4,2.3,1.8,2.0,2.1,1.8,1.8
"2011.10",4.0,3.2,2.6,4.0,2.2,3.0,1.7,-,3.1,1.7,2.3,2.8,2.1,1.5,1.6,1.7,1.2
"2011.11",4.0,3.0,3.1,3.9,2.0,3.4,1.7,-,3.2,1.6,2.1,1.7,1.6,1.5,1.7,1.9,1.1
"2011.12",4.3,3.8,3.3,3.9,2.2,3.7,1.9,-,3.0,1.8,2.0,2.1,1.6,1.9,2.0,1.8,0.9
