"시점",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2012.01",4.6,3.9,3.4,5.1,2.9,4.1,2.1,-,3.2,2.5,2.5,3.0,2.2,2.9,2.6,2.1,2.0
"2012.02",5.5,4.6,4.7,5.3,3.2,4.6,3.2,-,4.0,4.6,3.2,3.8,2.7,2.5,3.8,2.3,2.2
"2012.03",4.8,4.0,4.0,4.8,4.5,4.4,3.4,-,3.7,4.1,2.4,2.5,3.3,1.9,2.8,2.0,2.4
"2012.04",4.4,4.0,3.7,4.7,2.9,4.0,2.8,-,3.8,2.6,1.9,2.5,2.7,2.0,2.4,2.0,2.1
"2012.05",4.0,3.7,2.9,4.6,3.0,3.7,2.4,-,3.4,1.9,1.6,1.8,2.1,1.1,2.4,1.7,1.8
"2012.06",4.2,3.7,3.0,4.5,2.9,3.6,2.9,-,3.2,2.0,2.2,2.6,1.7,1.1,2.9,1.7,1.4
"2012.07",4.2,3.5,3.2,4.6,2.7,3.7,2.5,-,2.9,2.2,1.6,2.3,2.0,1.6,2.6,2.2,1.3
"2012.08",4.2,3.7,3.2,4.5,2.5,3.4,2.7,-,2.7,3.0,1.8,2.2,1.6,1.1,2.3,1.5,1.2
"2012.09",4.0,3.6,2.8,4.0,2.0,2.8,2.4,-,3.1,2.0,1.7,1.8,1.2,1.3,2.7,1.7,1.5
"2012.10",3.6,4.1,2.7,3.8,1.8,3.3,2.1,-,3.0,1.6,1.7,1.6,1.6,1.2,2.3,1.8,0.8
"2012.11",3.6,3.8,2.9,3.7,2.1,3.7,2.3,-,3.0,1.7,1.5,1.8,1.5,1.2,1.8,1.6,1.1
"2012.12",3.4,4.0,3.0,4.6,1.8,3.0,2.2,-,3.3,1.9,2.1,2.2,1.8,1.5,2.0,1.7,0.8
"2013.01",3.9,4.3,3.4,5.6,2.4,3.9,2.8,-,3.2,2.4,2.3,2.8,2.5,2.4,3.6,2.2,1.7
"2013.02",4.6,5.4,3.8,5.8,3.8,4.6,2.4,-,3.5,3.6,2.5,4.2,3.1,3.2,3.8,2.3,1.9
"2013.03",5.0,4.5,3.4,4.3,3.7,3.5,1.5,-,3.1,2.2,2.3,2.9,2.2,2.1,3.0,1.7,2.4
"2013.04",4.2,4.0,3.1,4.1,3.4,3.3,1.5,-,3.3,2.0,1.6,2.5,2.2,2.0,2.5,1.9,2.0
"2013.05",4.2,3.5,2.9,3.8,3.0,3.4,1.2,-,3.1,2.1,1.6,2.9,1.5,2.2,2.1,2.0,1.5
"2013.06",3.9,3.7,3.3,3.5,2.9,3.1,1.3,-,3.1,2.3,1.6,2.9,2.5,1.6,3.0,2.3,1.7
"2013.07",3.6,3.8,3.6,4.2,2.9,2.7,2.2,-,3.1,2.0,2.1,2.7,1.9,1.8,3.6,2.3,2.7
"2013.08",3.7,3.7,3.2,4.0,2.5,2.4,2.1,-,3.0,1.9,2.0,2.5,1.9,1.9,2.9,2.1,1.7
"2013.09",3.4,3.5,3.2,3.5,2.6,2.3,2.7,-,2.5,2.5,1.8,2.5,1.7,1.9,2.9,1.8,1.8
"2013.10",3.4,3.5,3.1,3.6,2.6,2.0,2.4,-,2.5,2.3,1.7,2.5,1.5,1.8,3.2,2.1,1.3
"2013.11",3.5,3.1,3.1,3.7,2.4,2.3,2.5,-,2.3,1.6,1.9,2.3,1.1,2.3,2.9,1.8,1.6
"2013.12",3.5,2.9,3.6,3.7,2.1,2.8,3.0,-,2.7,3.1,3.2,2.6,1.8,2.5,3.8,2.4,1.9
"2014.01",3.8,3.5,4.5,5.9,2.7,3.8,2.9,-,2.9,4.5,4.0,3.7,1.7,2.4,3.5,2.3,1.8
"2014.02",5.0,4.1,5.0,5.9,4.3,4.8,3.5,-,4.2,5.6,4.0,5.0,4.3,4.8,4.3,2.2,2.4
"2014.03",4.6,4.1,4.5,5.2,3.4,3.7,2.8,-,3.8,3.9,4.0,3.2,2.7,3.7,2.9,2.7,2.2
"2014.04",4.9,4.5,4.0,4.4,2.8,3.9,3.1,-,3.9,3.0,3.3,3.3,2.4,3.3,2.9,2.7,2.6
"2014.05",4.7,3.7,3.4,4.8,2.5,3.2,2.6,-,3.5,2.4,3.1,3.5,2.1,2.8,2.7,2.2,2.8
"2014.06",4.4,4.0,3.7,4.4,3.1,3.4,3.1,-,3.3,3.0,3.1,3.2,2.5,3.0,2.8,2.6,2.6
"2014.07",4.5,3.7,3.7,4.3,2.6,3.8,2.4,-,3.3,2.1,2.6,3.3,2.1,2.7,2.3,1.9,2.3
"2014.08",4.2,3.5,3.6,4.0,2.7,4.1,2.8,-,3.0,2.6,2.8,3.7,2.2,3.0,2.3,2.6,1.7
"2014.09",4.3,3.3,3.5,3.8,2.5,2.8,2.0,-,2.9,2.7,2.1,3.0,2.3,2.5,2.6,2.6,1.5
"2014.10",4.4,3.5,3.3,4.0,2.3,2.5,2.4,-,2.9,2.6,2.4,2.9,2.5,2.3,2.6,2.7,1.6
"2014.11",3.8,3.7,3.3,4.5,2.1,2.1,2.8,-,2.7,2.6,2.2,2.5,3.0,2.2,2.8,2.8,1.7
"2014.12",4.1,3.8,3.4,4.6,2.4,2.1,2.3,-,3.5,2.4,2.2,2.8,2.0,2.3,3.4,2.7,1.5
"2015.01",4.3,4.1,3.9,5.4,3.3,3.3,2.7,-,4.0,4.1,2.7,3.1,2.0,2.8,3.6,2.6,1.7
"2015.02",4.7,5.6,4.2,6.4,3.7,4.5,3.2,-,4.7,6.1,3.5,4.1,2.4,3.7,4.9,3.2,1.9
"2015.03",4.7,4.8,3.8,5.4,2.5,4.4,3.0,-,4.2,3.8,4.0,3.7,1.6,3.0,3.5,3.2,1.3
"2015.04",4.7,4.8,3.7,5.4,3.2,4.1,3.2,-,4.0,3.1,3.3,4.0,2.0,2.1,3.2,2.5,2.3
"2015.05",4.3,4.8,3.6,5.5,3.2,3.3,3.2,-,3.9,3.0,3.2,4.2,1.8,2.6,2.7,2.5,2.2
"2015.06",4.7,4.4,3.6,5.3,3.2,3.3,3.3,-,4.3,3.0,2.6,3.5,1.4,2.0,3.0,2.9,2.9
"2015.07",4.1,4.0,3.5,5.1,2.8,2.6,2.7,-,4.4,3.2,2.8,3.1,1.6,2.3,2.7,2.6,2.2
"2015.08",3.9,3.5,3.4,4.6,2.4,3.4,2.8,-,3.9,2.7,2.5,3.7,1.6,2.7,2.5,2.1,1.7
"2015.09",3.8,2.5,3.4,4.7,2.4,2.6,3.1,-,3.7,2.3,1.5,3.0,1.1,2.7,2.7,2.3,1.5
"2015.10",3.6,3.2,3.0,4.6,2.8,2.6,2.3,-,3.4,2.4,1.5,3.1,1.7,2.0,2.4,2.6,1.6
"2015.11",3.6,3.5,2.7,4.3,2.6,3.3,2.2,-,3.3,2.5,1.7,3.0,1.4,2.3,2.2,2.7,1.7
"2015.12",3.9,3.5,3.2,3.9,2.9,3.4,3.1,-,3.4,2.9,2.1,2.8,1.8,2.4,3.1,2.5,1.6
"2016.01",4.0,4.4,3.6,4.5,3.2,3.0,3.7,-,4.0,3.7,2.1,4.0,1.9,3.3,3.1,3.1,1.9
"2016.02",5.3,5.3,6.2,6.4,4.0,3.8,4.6,-,5.0,6.7,3.1,4.2,3.4,5.0,4.2,3.4,2.8
"2016.03",4.8,4.2,5.4,5.4,2.8,3.4,3.7,-,4.6,3.4,2.9,4.1,2.7,3.0,4.0,4.0,2.0
"2016.04",4.3,3.8,4.6,5.2,2.9,3.2,3.6,-,4.6,2.3,3.2,3.4,2.7,2.6,3.3,3.2,1.8
"2016.05",4.3,4.0,4.0,4.8,2.7,3.0,3.3,-,3.7,1.8,3.1,3.2,2.4,2.5,3.5,3.7,1.9
"2016.06",4.0,3.6,4.2,5.5,3.1,2.7,3.6,-,3.7,2.4,2.3,3.5,2.3,2.7,2.8,4.0,2.9
"2016.07",3.8,3.5,3.7,4.9,2.8,2.9,3.8,-,3.6,2.9,2.7,3.9,1.3,2.9,3.1,3.7,2.6
"2016.08",4.2,4.0,3.8,4.4,3.4,4.1,4.0,-,3.7,2.4,2.7,3.4,1.3,2.7,2.7,3.7,2.3
"2016.09",4.2,3.9,3.6,4.7,3.6,3.6,3.5,-,3.7,2.5,2.6,2.6,1.3,2.8,3.4,3.5,2.5
"2016.10",4.0,3.4,3.6,4.4,3.0,3.0,3.7,-,3.7,2.2,2.3,2.3,1.2,2.9,2.8,2.8,1.5
"2016.11",3.7,3.1,3.5,4.3,2.6,3.0,3.9,-,3.3,1.7,2.1,1.8,1.8,3.0,2.4,2.6,1.6
"2016.12",3.8,3.6,3.4,4.0,2.8,3.1,4.3,-,3.3,2.3,2.3,1.8,2.5,2.7,2.7,2.5,2.1
"2017.01",4.5,4.4,4.1,5.4,1.9,4.2,3.8,2.9,3.6,2.7,2.8,2.9,2.6,3.7,3.3,3.1,1.8
"2017.02",5.4,5.4,4.9,6.3,3.4,4.5,4.2,3.2,5.0,6.6,3.9,3.3,4.6,5.6,4.9,3.7,2.5
"2017.03",4.9,4.6,4.8,5.1,2.7,3.6,3.8,2.1,4.4,2.4,2.5,3.0,3.8,4.2,3.5,3.5,1.7
"2017.04",5.0,5.0,4.4,5.3,3.7,3.6,3.6,2.0,4.6,2.1,2.4,3.2,2.9,3.5,3.8,3.1,1.8
"2017.05",4.2,4.5,3.6,4.7,3.4,3.4,3.4,1.1,3.8,1.8,2.1,3.1,2.6,3.0,2.3,3.1,1.4
"2017.06",4.2,4.9,4.3,4.4,3.3,4.0,3.7,1.6,4.4,2.2,2.4,3.0,2.5,3.0,2.5,3.0,2.5
"2017.07",4.2,4.5,3.3,4.1,3.3,2.8,3.8,1.7,3.8,1.6,2.4,2.3,1.6,3.1,2.2,2.9,1.7
"2017.08",4.6,4.9,3.5,4.5,2.7,2.6,3.8,2.2,3.9,2.1,2.1,2.6,2.2,3.0,2.2,2.6,3.0
"2017.09",4.6,4.4,3.4,4.3,2.9,2.3,3.3,2.4,3.7,2.1,1.3,2.2,1.7,2.1,1.5,2.4,1.9
"2017.10",4.2,3.8,3.9,3.8,2.6,3.3,3.4,2.4,3.3,3.0,1.5,2.6,1.5,2.3,2.2,2.3,1.8
"2017.11",4.1,4.5,4.2,3.8,2.5,3.4,2.9,3.1,2.9,2.4,1.7,2.9,1.8,2.0,1.9,2.6,1.5
"2017.12",4.4,4.2,3.7,4.1,2.1,3.1,2.3,3.0,3.0,2.7,1.8,3.2,2.3,2.7,2.9,2.9,1.8
"2018.01",4.4,4.3,4.3,4.4,3.1,3.9,3.3,2.4,3.6,4.4,2.3,3.8,2.2,3.1,4.0,2.7,2.0
"2018.02",5.3,5.4,4.7,5.1,4.5,4.4,3.7,2.4,4.3,6.1,2.8,4.6,3.7,4.8,5.1,3.8,3.4
"2018.03",5.5,5.3,5.7,5.0,5.0,4.4,4.5,3.0,4.0,2.7,3.0,4.0,3.4,4.5,5.4,3.8,2.0
"2018.04",5.0,4.4,5.4,4.9,4.6,4.6,5.9,1.9,4.0,3.0,2.4,3.1,3.2,3.2,3.8,3.6,1.5
"2018.05",5.3,4.6,5.3,4.5,4.0,4.1,4.7,2.6,3.6,2.4,3.0,2.5,3.2,2.9,4.4,2.8,1.4
"2018.06",4.8,4.0,4.3,4.0,3.3,4.4,4.5,2.3,3.7,2.1,2.5,2.4,2.7,2.6,3.6,2.9,1.4
"2018.07",4.7,4.2,4.0,3.9,3.8,4.0,4.9,2.5,3.9,2.8,2.5,2.5,2.2,2.5,3.7,2.3,1.9
"2018.08",5.0,4.3,4.2,4.3,4.2,4.9,4.8,2.5,4.1,2.9,2.6,2.9,2.6,2.8,4.9,3.0,1.7
"2018.09",4.9,3.7,4.6,3.8,3.7,3.9,5.0,2.3,3.5,2.4,2.4,2.6,2.2,2.0,4.2,2.8,1.2
"2018.10",4.2,3.4,3.8,3.8,3.2,4.0,4.7,2.1,3.8,2.4,2.0,3.0,1.9,1.4,3.3,2.9,2.7
"2018.11",3.8,2.9,2.9,3.7,2.8,4.3,4.4,1.6,3.6,1.6,1.6,2.8,2.3,1.9,3.4,2.9,2.0
"2018.12",4.2,3.1,2.9,3.7,3.4,4.2,4.6,1.9,3.6,2.4,2.3,2.8,3.0,1.6,3.7,2.8,2.2
"2019.01",5.1,4.4,3.7,4.5,4.9,5.8,5.4,2.6,4.4,6.5,3.0,3.0,3.8,2.3,5.6,4.2,2.8
"2019.02",5.3,4.9,4.3,5.4,5.3,5.4,5.3,3.5,4.6,6.7,4.0,3.1,3.2,3.2,5.1,4.7,2.8
"2019.03",5.6,5.1,4.4,4.8,4.1,4.7,5.2,2.0,3.9,3.7,3.0,2.7,3.0,3.0,4.1,4.2,2.1
"2019.04",5.2,4.6,4.6,4.9,4.5,5.2,5.2,1.8,4.2,3.5,3.7,3.2,3.0,3.3,4.9,4.7,2.6
"2019.05",4.9,3.9,4.3,4.1,4.0,4.6,4.5,2.6,4.0,3.1,3.6,3.0,2.4,3.0,4.1,4.1,2.4
"2019.06",4.4,4.1,4.1,4.7,3.5,4.6,4.0,2.8,3.8,3.4,3.7,3.5,2.6,3.8,4.4,4.6,1.9
"2019.07",4.4,3.5,4.2,4.9,3.3,3.7,3.8,2.9,3.9,2.3,3.3,3.4,2.5,3.4,3.3,4.7,2.4
"2019.08",3.8,2.1,3.3,3.8,3.2,2.8,3.1,2.2,3.2,2.2,2.2,2.8,2.4,1.9,2.7,2.8,1.5
"2019.09",3.6,3.3,3.1,3.5,3.4,2.9,3.6,2.4,3.4,2.3,2.0,3.0,2.4,1.8,3.0,2.7,1.6
"2019.10",3.6,2.9,3.0,3.8,2.7,3.2,3.1,2.6,3.1,2.7,1.9,2.4,2.9,1.4,3.0,2.9,1.6
"2019.11",3.4,3.1,2.7,3.9,2.8,3.5,3.6,3.2,3.4,2.4,2.5,2.0,2.1,1.5,2.5,2.9,1.6
"2019.12",3.3,3.1,2.6,3.8,2.8,4.2,3.5,3.6,3.7,4.9,3.7,2.3,2.1,2.0,4.3,2.7,2.2
"2020.01",4.2,3.8,3.6,4.5,3.8,5.1,5.2,2.7,4.0,6.9,4.2,3.5,2.7,3.7,5.2,3.6,2.7
"2020.02",4.3,4.3,4.0,4.2,3.4,5.0,5.3,3.4,4.3,4.7,3.7,4.2,2.9,3.0,3.8,3.9,2.7
"2020.03",5.0,4.3,4.2,5.1,3.8,5.1,4.4,3.0,4.2,3.7,3.2,3.9,2.7,2.6,3.7,4.7,2.8
"2020.04",5.3,5.0,4.1,4.9,4.2,5.1,4.2,3.1,4.0,3.9,2.9,3.5,2.6,2.5,4.1,3.9,2.6
"2020.05",5.8,5.3,4.5,4.7,4.4,5.5,4.2,3.6,4.1,3.7,3.2,4.3,3.3,2.9,5.1,4.1,3.1
"2020.06",4.8,4.9,4.5,5.0,4.2,4.8,5.3,3.4,4.1,3.9,3.3,4.2,2.7,2.2,5.3,4.7,4.0
"2020.07",4.5,4.8,4.3,4.2,3.7,5.0,4.2,3.4,4.2,3.9,2.8,3.5,2.1,2.6,4.2,3.8,2.3
"2020.08",3.3,3.7,3.1,3.6,3.0,3.4,3.2,2.5,3.4,2.3,2.9,2.1,1.6,1.3,3.1,3.1,1.6
"2020.09",4.2,3.6,3.0,4.4,3.6,3.6,3.4,2.5,3.7,2.8,3.3,3.1,2.0,1.5,3.2,4.2,2.4
"2020.10",4.6,3.5,3.9,4.4,4.0,2.7,3.7,1.8,3.8,2.7,3.3,2.7,2.2,1.3,3.4,4.0,2.1
"2020.11",4.2,3.2,3.4,4.3,4.3,3.3,3.3,1.3,3.7,2.0,2.6,3.2,1.4,1.7,3.4,3.6,1.4
"2020.12",4.5,4.0,3.8,5.3,3.8,3.6,4.4,2.2,3.9,7.1,2.9,3.4,3.6,3.1,4.0,4.5,2.3
"2021.01",6.5,5.8,5.7,6.2,6.4,6.7,6.1,3.3,5.1,8.8,4.2,4.2,4.3,5.4,6.0,6.0,5.2
"2021.02",6.5,4.2,5.1,4.9,4.4,4.7,4.6,3.2,4.5,6.3,3.7,3.9,2.3,3.1,5.4,5.8,3.9
"2021.03",5.4,3.7,4.6,5.2,3.4,4.1,4.1,3.3,4.4,2.8,2.7,3.0,2.0,2.8,4.8,5.3,2.9
"2021.04",5.0,3.7,4.6,5.2,3.6,4.2,3.2,3.0,4.3,3.0,2.4,2.6,2.3,2.4,4.1,3.8,3.9
"2021.05",5.2,3.4,4.5,4.9,3.6,3.4,4.4,1.8,4.3,2.5,2.6,2.5,2.1,1.9,4.0,3.8,3.0
"2021.06",5.2,3.3,3.9,4.3,3.7,2.7,3.3,1.6,4.0,2.8,2.5,3.1,2.2,1.9,3.1,3.8,3.2
"2021.07",4.5,3.1,3.4,4.1,3.4,2.2,2.9,2.1,3.1,2.6,2.6,1.9,1.9,1.8,2.4,3.2,3.6
"2021.08",4.0,2.3,2.8,2.8,2.5,1.9,2.2,1.3,2.7,2.2,1.7,1.1,1.6,1.3,1.5,3.1,1.9
"2021.09",3.6,2.5,2.5,2.6,2.4,2.2,2.8,1.3,3.1,2.0,1.6,0.8,1.4,1.4,1.4,3.1,2.3
"2021.10",4.2,2.6,2.2,2.5,2.3,2.6,3.0,1.3,2.9,2.8,1.8,1.5,1.5,1.1,1.7,3.1,1.9
"2021.11",4.1,2.4,2.1,1.8,2.5,2.5,2.4,1.3,2.7,1.9,1.8,1.2,1.0,1.1,1.6,3.0,1.8
"2021.12",3.8,3.5,3.5,3.9,4.4,2.7,3.9,1.7,2.9,6.4,2.2,1.7,3.8,4.0,2.8,5.0,4.1
"2022.01",4.7,4.4,3.9,5.0,4.2,4.0,4.1,2.5,3.3,6.3,3.8,2.9,3.7,3.8,4.3,5.0,3.2
"2022.02",4.3,3.1,3.2,3.5,3.8,3.3,4.1,2.7,3.0,4.1,3.4,2.9,2.6,2.3,3.3,3.1,2.3
"2022.03",4.1,2.6,2.8,3.1,3.6,2.7,3.2,2.4,2.6,3.9,2.6,2.9,2.5,2.8,2.6,3.3,2.0
"2022.04",3.9,2.5,3.2,3.3,2.9,2.3,3.7,1.8,2.8,2.6,2.6,2.4,2.5,2.5,2.4,3.4,2.2
"2022.05",3.5,2.9,3.4,3.8,2.7,2.2,3.5,2.2,3.1,2.4,2.9,2.8,2.3,1.6,2.2,3.7,1.9
"2022.06",3.4,3.4,2.8,3.5,2.8,2.7,3.4,2.7,3.0,2.5,2.6,3.1,2.6,2.0,1.9,3.7,2.0
"2022.07",3.3,3.3,2.8,3.3,2.9,2.4,3.2,2.3,2.9,2.1,2.7,2.3,1.7,2.2,1.8,3.6,2.0
"2022.08",2.3,2.3,2.2,2.6,1.8,1.8,2.4,1.7,2.2,2.1,1.5,1.3,1.7,1.7,1.4,2.6,1.5
"2022.09",2.8,2.6,2.5,2.8,2.3,2.0,2.6,1.7,2.4,2.4,2.2,2.1,1.6,1.5,2.2,2.8,2.1
"2022.10",3.1,2.8,2.3,2.5,2.3,1.4,2.9,1.5,2.4,2.4,1.5,1.6,1.5,1.4,2.3,2.6,1.7
"2022.11",2.8,2.6,2.2,2.9,2.1,1.7,2.1,0.9,2.5,2.2,1.4,1.7,1.4,0.9,2.0,2.3,2.0
"2022.12",2.8,3.0,3.9,3.9,3.2,2.1,3.4,1.6,2.3,5.7,2.4,2.0,4.9,4.1,3.6,3.3,2.8
"2023.01",3.4,3.5,4.3,4.6,2.6,3.3,4.4,2.3,2.9,7.3,4.0,3.3,3.2,4.2,3.6,4.7,3.1
"2023.02",2.9,3.3,3.9,4.2,2.2,3.0,3.7,2.5,3.0,3.5,3.1,3.6,2.2,2.9,2.8,3.6,2.4
"2023.03",2.8,3.0,3.3,4.6,2.6,3.1,3.9,2.1,2.6,3.0,2.7,2.8,3.1,2.1,2.6,2.8,2.7
"2023.04",2.8,3.4,3.5,3.3,2.8,2.6,3.4,2.1,2.7,2.5,2.1,2.8,3.2,2.0,2.6,2.0,2.3
"2023.05",2.7,3.5,2.9,3.1,2.3,3.0,3.6,2.3,2.7,1.9,2.1,2.5,2.7,1.4,2.6,2.3,1.9
"2023.06",2.8,3.4,2.8,2.8,2.5,3.1,3.3,2.7,2.8,2.2,2.5,2.0,2.6,1.4,2.8,2.8,2.1
"2023.07",3.0,2.9,2.7,2.9,2.3,3.3,3.0,2.5,2.8,2.6,2.5,2.4,2.3,2.2,2.6,2.3,1.4
"2023.08",2.0,2.3,2.3,2.3,1.9,2.1,2.4,1.7,2.2,1.2,1.1,2.0,1.7,1.6,1.9,1.2,1.2
"2023.09",2.4,2.6,2.3,2.5,2.0,2.0,3.0,1.7,2.6,1.2,1.7,2.3,1.8,1.8,2.2,1.6,1.4
"2023.10",2.5,2.9,2.4,2.3,2.4,2.2,2.3,1.5,2.0,1.4,1.7,2.3,1.8,1.8,1.8,1.6,1.3
"2023.11",2.7,3.0,2.6,2.5,2.3,2.4,2.8,1.3,2.4,1.8,1.9,2.3,1.5,1.8,1.5,1.7,0.9
"2023.12",2.9,3.7,3.6,3.1,4.4,3.5,5.3,1.6,2.8,5.2,2.4,3.1,4.0,3.1,4.3,3.3,2.2
